date,open,high,low,close,volume
2025-01-01,604.85,613.5,602.05,605.3,272422
2025-01-02,611.0,632.25,604.05,628.05,516344
2025-01-03,629.95,634.05,622.35,628.65,260515
2025-01-06,625.5,630.45,613.8,622.7,541982
2025-01-07,620.0,627.95,614.9,618.85,202165
2025-01-08,618.85,618.85,606.25,613.45,194647
2025-01-09,610.65,620.5,604.15,609.4,320603
2025-01-10,600.0,616.5,595.8,609.65,349274
2025-01-13,604.95,604.95,575.05,587.65,358923
2025-01-14,581.0,596.0,580.35,588.4,310408
2025-01-15,589.0,592.2,580.05,589.45,214259
2025-01-16,592.05,597.0,583.4,585.35,130333
2025-01-17,580.0,584.4,567.0,570.5,1242824
2025-01-20,570.5,570.5,554.0,560.2,336973
2025-01-21,560.55,563.15,550.0,560.95,327329
2025-01-22,560.0,562.8,545.0,556.65,260100
2025-01-23,559.6,597.85,555.7,591.1,1188688
2025-01-24,582.25,599.35,560.0,562.55,391633
2025-01-27,562.55,562.65,533.55,540.2,237079
2025-01-28,547.65,547.65,506.55,511.25,525970
2025-01-29,511.25,538.8,508.05,532.85,471863
2025-01-30,532.85,540.85,517.15,522.15,266016
2025-01-31,528.95,532.15,509.95,529.0,912185
2025-02-01,527.7,541.9,525.0,537.55,166506
2025-02-03,535.15,540.4,526.0,533.0,227427
2025-02-04,540.0,545.15,530.3,536.85,222681
2025-02-05,541.8,554.85,540.5,549.95,266978
2025-02-06,552.0,557.0,542.55,551.6,207329
2025-02-07,466.0,498.65,446.1,489.3,11834581
2025-02-10,492.05,498.95,463.6,467.2,1894890
2025-02-11,470.0,473.25,441.7,446.15,895702
2025-02-12,441.3,452.95,421.2,443.8,1119884
2025-02-13,445.0,451.4,427.4,430.35,573122
2025-02-14,432.05,433.5,415.5,420.2,671002
2025-02-17,420.05,426.5,409.1,420.2,493218
2025-02-18,424.45,424.45,407.45,410.85,330791
2025-02-19,410.85,425.5,404.55,416.55,557587
2025-02-20,417.15,428.0,410.45,421.7,446674
2025-02-21,423.95,427.7,409.95,411.75,519853
2025-02-24,409.05,410.95,395.7,406.0,446798
2025-02-25,405.0,411.55,392.7,394.05,651267
2025-02-27,393.0,397.65,380.15,382.55,667336
