pullback_pct,target_atr,min_risk,max_risk,stop_atr,return,sharpe,trades,win_rate,profit_factor,max_dd,score
0.06,3.0,0.03,0.05,1.5,2.659369517499998,11.290406974512141,9,88.88888888888889,4.479013733172968,0.7390982380600246,129.05721957775083
0.06,6.0,0.025,0.045,1.5,2.659369517499998,11.290406974512141,9,88.88888888888889,4.479013733172968,0.7390982380600246,129.05721957775083
0.06,5.0,0.03,0.05,1.5,2.659369517499998,11.290406974512141,9,88.88888888888889,4.479013733172968,0.7390982380600246,129.05721957775083
0.06,6.0,0.025,0.04,1.5,2.659369517499998,11.290406974512141,9,88.88888888888889,4.479013733172968,0.7390982380600246,129.05721957775083
0.06,5.0,0.02,0.035,1.5,2.659369517499998,11.290406974512141,9,88.88888888888889,4.479013733172968,0.7390982380600246,129.05721957775083
0.08,4.0,0.025,0.035,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,3.0,0.03,0.035,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,5.0,0.025,0.04,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,5.0,0.03,0.05,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,6.0,0.025,0.05,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,5.0,0.02,0.04,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,5.0,0.025,0.035,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,3.0,0.03,0.04,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,5.0,0.02,0.035,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,3.0,0.025,0.05,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,4.0,0.02,0.05,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
0.08,3.0,0.02,0.05,1.5,2.3522269674999983,10.592726680873279,8,87.5,4.077206785150084,0.7412997114497961,120.97731953516859
