entry_date,exit_date,side,entry_price,exit_price,pnl,holding_days,reason_exit
2025-07-09,2025-07-09,LONG,434.5,430.3,-166.44,1,EOD
2025-07-10,2025-07-10,LONG,430.8,430.05,-48.94,1,EOD
2025-07-11,2025-07-11,LONG,430.4,432.9,61.59,1,EOD
2025-07-14,2025-07-14,LONG,432.9,435.9,78.45,1,EOD
2025-07-30,2025-07-30,SHORT,411.0,391.95,662.13,1,EOD
2025-08-12,2025-08-12,SHORT,377.0,367.45,357.87,1,EOD
2025-08-20,2025-08-20,SHORT,373.9,377.15,-153.93,1,EOD
2025-09-03,2025-09-03,LONG,362.0,359.95,-107.8,1,EOD
2025-09-11,2025-09-11,LONG,384.95,382.6,-115.67,1,EOD
2025-09-12,2025-09-12,LONG,383.5,379.9,-164.33,1,EOD
2025-09-15,2025-09-15,LONG,381.45,378.8,-127.15,1,EOD
2025-09-16,2025-09-16,LONG,380.4,390.2,358.46,1,EOD
2025-10-10,2025-10-10,SHORT,367.5,363.35,142.48,1,EOD
2025-10-13,2025-10-13,SHORT,364.8,363.5,29.37,1,EOD
2025-10-21,2025-10-21,LONG,368.25,373.1,174.69,1,EOD
2025-10-28,2025-10-28,LONG,370.5,374.4,132.29,1,EOD
2025-10-31,2025-10-31,LONG,370.25,371.7,34.3,1,EOD
2025-11-03,2025-11-03,LONG,371.7,374.25,78.21,1,EOD
2025-11-04,2025-11-04,LONG,372.5,365.85,-289.84,1,EOD
2025-11-10,2025-11-10,LONG,376.2,371.8,-195.07,1,EOD
2025-11-11,2025-11-11,LONG,373.8,392.8,736.08,1,EOD
2025-12-03,2025-12-03,SHORT,365.0,365.55,-46.49,1,EOD
2025-12-04,2025-12-04,SHORT,365.6,361.2,156.42,1,EOD
2025-12-05,2025-12-05,SHORT,361.4,354.75,248.94,1,EOD
2025-12-11,2025-12-11,SHORT,354.5,350.05,163.08,1,EOD
2025-12-12,2025-12-12,SHORT,350.0,349.4,1.68,1,EOD
2025-12-29,2025-12-29,LONG,356.3,357.25,15.96,1,EOD
2025-12-30,2025-12-30,LONG,359.0,359.85,11.3,1,EOD
